task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Recent Probes,Two-Armed Bandit,Recent Probes <-> Two-Armed Bandit,0.600478038503681,0.2554081079911985,0.5591966173361522,0.7621564482029598,0.20295983086680758,-0.20295983086680758
Fixed-Set Intertemporal Choice,Verbal Digit/Letter WM,Fixed-Set Intertemporal... <-> Verbal Digit/Letter WM,0.5408204489123902,0.20900182694964153,0.32452431289640593,0.5264270613107822,0.20190274841437628,-0.20190274841437628
balloon analogue risk task,exp,balloon analogue risk t... <-> exp,0.5149830481485652,0.19090207955856686,0.24101479915433405,0.43868921775898523,0.19767441860465118,-0.19767441860465118
Balloon Analogue Risk Task (BART),exp,Balloon Analogue Risk T... <-> exp,0.5249140192872197,0.19556243387970018,0.26744186046511625,0.4630021141649049,0.19556025369978863,-0.19556025369978863
four-armed bandit task,multi-step sequential decision task,four-armed bandit task <-> multi-step sequential d...,0.42635499123038567,0.16768428531608282,0.10042283298097252,0.2949260042283298,0.1945031712473573,-0.1945031712473573
Associative Recognition (Intact vs Rearranged),exp7,Associative Recognition... <-> exp7,0.6750677832993927,0.47942656065845224,0.7790697674418605,0.9735729386892178,0.19450317124735728,-0.19450317124735728
digit span,exp4,digit span <-> exp4,0.5269783760763744,0.19696351227677844,0.27167019027484146,0.46617336152219874,0.19450317124735728,-0.19450317124735728
Balloon Analogue Risk Task (BART),exp7,Balloon Analogue Risk T... <-> exp7,0.6468185793512747,0.32583240780057543,0.6997885835095138,0.8942917547568711,0.19450317124735728,-0.19450317124735728
balloon analogue risk task,exp0,balloon analogue risk t... <-> exp0,0.6472362753471465,0.3314465632502567,0.7029598308668076,0.8964059196617337,0.19344608879492609,-0.19344608879492609
exp4,iowa gambling task,exp4 <-> iowa gambling task,0.48680866207023854,0.17765281168407765,0.16913319238900634,0.36046511627906974,0.1913319238900634,-0.1913319238900634
Recent Probes,n-back,Recent Probes <-> n-back,0.3620621924527655,0.16153364299260242,0.07293868921775898,0.26215644820295986,0.18921775898520088,-0.18921775898520088
n-back,recent probes task,n-back <-> recent probes task,0.35872819066414885,0.16133335802422,0.0708245243128964,0.25792811839323465,0.18710359408033825,-0.18710359408033825
Two-Step Task (Daw),n-back,Two-Step Task (Daw) <-> n-back,0.5380188617434666,0.2029527412259653,0.3118393234672304,0.4978858350951374,0.18604651162790697,-0.18604651162790697
Columbia Card Task (CCT),Four-Armed Bandit,Columbia Card Task (CCT) <-> Four-Armed Bandit,0.5507967948211026,0.21281245768279766,0.3594080338266385,0.5454545454545454,0.18604651162790692,-0.18604651162790692
exp,two-step task,exp <-> two-step task,0.5523679558210626,0.2139050075268003,0.3699788583509514,0.5539112050739958,0.18393234672304443,-0.18393234672304443
Balloon Analogue Risk Task (BART),exp0,Balloon Analogue Risk T... <-> exp0,0.6521220526736942,0.3449186902878393,0.7145877378435518,0.8985200845665962,0.18393234672304437,-0.18393234672304437
Balloon Analogue Risk Task (BART),choice task,Balloon Analogue Risk T... <-> choice task,0.6138436866351668,0.2589424775502579,0.5972515856236786,0.7801268498942917,0.18287526427061307,-0.18287526427061307
balloon analogue risk task,route learning,balloon analogue risk t... <-> route learning,0.646770869398093,0.3125860220828671,0.6987315010570825,0.8816067653276956,0.18287526427061307,-0.18287526427061307
Recent Probes,category learning task,Recent Probes <-> category learning task,0.5728446161651177,0.22644659539742107,0.4503171247357294,0.6321353065539113,0.18181818181818188,-0.18181818181818188
Go/No-Go (withhold),exp4,Go/No-Go (withhold) <-> exp4,0.520257308159451,0.18916067147953963,0.25052854122621565,0.43023255813953487,0.17970401691331922,-0.17970401691331922
contextual bandit task,exp7,contextual bandit task <-> exp7,0.4746786651032071,0.17287266766578857,0.1511627906976744,0.3298097251585624,0.17864693446088797,-0.17864693446088797
Associative Recognition (Intact vs Rearranged),Multi-Step Sequential RL (3+ states),Associative Recognition... <-> Multi-Step Sequential R...,0.6840558120744247,0.502169608216723,0.806553911205074,0.985200845665962,0.17864693446088797,-0.17864693446088797
Multi-Step Sequential RL (3+ states),gambling task,Multi-Step Sequential R... <-> gambling task,0.4677989661977049,0.1710455826025702,0.13847780126849896,0.3171247357293869,0.17864693446088792,-0.17864693446088792
Two-Armed Bandit,recent probes task,Two-Armed Bandit <-> recent probes task,0.6070738415706095,0.2553101983101531,0.5835095137420718,0.7610993657505285,0.17758985200845667,-0.17758985200845667
Contextual Bandit,exp7,Contextual Bandit <-> exp7,0.4851429746747701,0.1752046154643161,0.16807610993657504,0.3456659619450317,0.17758985200845664,-0.17758985200845664
Associative Recognition (Intact vs Rearranged),Route Learning / Decision-Point Navigation,Associative Recognition... <-> Route Learning / Decisi...,0.6778299566063378,0.475785372562624,0.7896405919661733,0.9661733615221987,0.17653276955602537,-0.17653276955602537
balloon analogue risk task,exp5,balloon analogue risk t... <-> exp5,0.5509185646251067,0.21138527624306058,0.36152219873150104,0.5369978858350951,0.17547568710359407,-0.17547568710359407
choice task,exp7,choice task <-> exp7,0.5957378944568708,0.24484495248898663,0.5443974630021141,0.7167019027484144,0.17230443974630028,-0.17230443974630028
exp5,recent probes task,exp5 <-> recent probes task,0.5871170242404482,0.23723584236234663,0.5137420718816068,0.6839323467230444,0.17019027484143756,-0.17019027484143756
balloon analogue risk task,two-step task,balloon analogue risk t... <-> two-step task,0.6451055497281893,0.30561408968865,0.693446088794926,0.8625792811839323,0.16913319238900637,-0.16913319238900637
Balloon Analogue Risk Task (BART),contextual bandit task,Balloon Analogue Risk T... <-> contextual bandit task,0.5700689322540903,0.22205985697425934,0.4408033826638478,0.6078224101479915,0.16701902748414377,-0.16701902748414377
associative recognition,intertemporal choice,associative recognition <-> intertemporal choice,0.6785000106137844,0.47294154533381405,0.7917547568710359,0.9587737843551797,0.16701902748414377,-0.16701902748414377
Fixed-Set Intertemporal Choice,exp5,Fixed-Set Intertemporal... <-> exp5,0.5260774693993934,0.18989547716081379,0.26849894291754756,0.43446088794926,0.16596194503171247,-0.16596194503171247
Two-Armed Bandit,exp0,Two-Armed Bandit <-> exp0,0.5279663590864441,0.19107921473908596,0.2748414376321353,0.4397463002114165,0.16490486257928116,-0.16490486257928116
