task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Unidimensional Threshold Rule,category learning task,Unidimensional Threshol... <-> category learning task,0.0498121538341465,0.004054860837954588,0.02854122621564482,0.021141649048625793,-0.007399577167019028,0.007399577167019028
exp0,go/no-go task,exp0 <-> go/no-go task,0.6656683855132344,0.2538180575653196,0.758985200845666,0.7515856236786469,-0.007399577167019111,0.007399577167019111
exp,intertemporal choice,exp <-> intertemporal choice,0.5364378117176622,0.16896900295975514,0.30761099365750527,0.29915433403805497,-0.008456659619450302,0.008456659619450302
Fixed-Set Intertemporal Choice,intertemporal choice,Fixed-Set Intertemporal... <-> intertemporal choice,0.016649971173438027,0.0016004335128610991,0.014799154334038054,0.006342494714587738,-0.008456659619450316,0.008456659619450316
exp7,go/no-go,exp7 <-> go/no-go,0.5812261349237571,0.19863515081418537,0.4820295983086681,0.4725158562367865,-0.009513742071881603,0.009513742071881603
exp5,four-armed bandit task,exp5 <-> four-armed bandit task,0.2660687821127008,0.09606650159509311,0.0507399577167019,0.0412262156448203,-0.009513742071881603,0.009513742071881603
choice task,four-armed bandit task,choice task <-> four-armed bandit task,0.5317451607024244,0.16434033610443244,0.28858350951374206,0.27906976744186046,-0.009513742071881603,0.009513742071881603
Iowa Gambling Task (IGT),exp5,Iowa Gambling Task (IGT) <-> exp5,0.4828248092642611,0.14026499971515538,0.1638477801268499,0.1543340380549683,-0.009513742071881603,0.009513742071881603
Iowa Gambling Task (IGT),iowa gambling task,Iowa Gambling Task (IGT) <-> iowa gambling task,0.022467333010770973,0.002081960650388348,0.019027484143763214,0.009513742071881607,-0.009513742071881607,0.009513742071881607
category learning task,exp1,category learning task <-> exp1,0.034071588050346824,0.002237354055640073,0.022198731501057084,0.011627906976744186,-0.010570824524312898,0.010570824524312898
Contextual Bandit,four-armed bandit task,Contextual Bandit <-> four-armed bandit task,0.26030562650125166,0.09040029708879249,0.048625792811839326,0.03805496828752643,-0.010570824524312898,0.010570824524312898
Balloon Analogue Risk Task (BART),exp2,Balloon Analogue Risk T... <-> exp2,0.7648774449541561,0.35052856066298266,0.9133192389006343,0.9027484143763214,-0.010570824524312905,0.010570824524312905
contextual bandit task,four-armed bandit task,contextual bandit task <-> four-armed bandit task,0.24805507842654895,0.08871766783553503,0.045454545454545456,0.03382663847780127,-0.011627906976744186,0.011627906976744186
Two-Step Task (Daw),intertemporal choice,Two-Step Task (Daw) <-> intertemporal choice,0.6184079797295733,0.2216014116952536,0.6162790697674418,0.6046511627906976,-0.011627906976744207,0.011627906976744207
Columbia Card Task (CCT),exp7,Columbia Card Task (CCT) <-> exp7,0.6514516912571107,0.23989201225640866,0.7135306553911205,0.7008456659619451,-0.012684989429175397,0.012684989429175397
exp4,two-step task,exp4 <-> two-step task,0.5533826195809532,0.178103716518211,0.3752642706131078,0.36257928118393234,-0.012684989429175453,0.012684989429175453
gambling task,iowa gambling task,gambling task <-> iowa gambling task,0.0597312061942884,0.0028479877450536817,0.02959830866807611,0.016913319238900635,-0.012684989429175474,0.012684989429175474
Columbia Card Task (CCT),contextual bandit task,Columbia Card Task (CCT) <-> contextual bandit task,0.5127441374230947,0.153403671096225,0.23044397463002114,0.2167019027484144,-0.013742071881606754,0.013742071881606754
balloon analogue risk task,two-armed bandit task,balloon analogue risk t... <-> two-armed bandit task,0.5861015456164514,0.20195418504141738,0.507399577167019,0.49365750528541225,-0.013742071881606754,0.013742071881606754
Contextual Bandit,Four-Armed Bandit,Contextual Bandit <-> Four-Armed Bandit,0.26132112131873453,0.08932761180820492,0.049682875264270614,0.035940803382663845,-0.013742071881606768,0.013742071881606768
Two-Armed Bandit,gambling task,Two-Armed Bandit <-> gambling task,0.430246731131962,0.12654774777151712,0.10676532769556026,0.09302325581395349,-0.013742071881606768,0.013742071881606768
Four-Armed Bandit,contextual bandit task,Four-Armed Bandit <-> contextual bandit task,0.2505977588904058,0.0880860213983351,0.046511627906976744,0.03171247357293869,-0.014799154334038056,0.014799154334038056
gambling task,weather prediction task,gambling task <-> weather prediction task,0.5564503467380728,0.17955279350997022,0.386892177589852,0.37209302325581395,-0.014799154334038056,0.014799154334038056
exp,recent probes task,exp <-> recent probes task,0.5681577416744754,0.18711461100479942,0.43023255813953487,0.4154334038054968,-0.014799154334038056,0.014799154334038056
Balloon Analogue Risk Task (BART),exp3,Balloon Analogue Risk T... <-> exp3,0.771980406451803,0.369218723627766,0.9238900634249472,0.9090909090909091,-0.014799154334038112,0.014799154334038112
Two-Step Task (Daw),choice task,Two-Step Task (Daw) <-> choice task,0.6026435702701262,0.21295173775321452,0.5644820295983086,0.5486257928118393,-0.015856236786469302,0.015856236786469302
exp0,exp3,exp0 <-> exp3,0.7133559115994842,0.2952269382567523,0.864693446088795,0.8488372093023255,-0.015856236786469413,0.015856236786469413
exp4,two-armed bandit task,exp4 <-> two-armed bandit task,0.3809461341618565,0.10748970499782695,0.07928118393234672,0.06025369978858351,-0.019027484143763207,0.019027484143763207
Contextual Bandit,gambling task,Contextual Bandit <-> gambling task,0.345864751491367,0.098371793166935,0.06553911205073996,0.045454545454545456,-0.02008456659619451,0.02008456659619451
columbia card task,route learning,columbia card task <-> route learning,0.6472114019111631,0.23614565289953204,0.7019027484143763,0.6818181818181818,-0.02008456659619451,0.02008456659619451
Contextual Bandit,Iowa Gambling Task (IGT),Contextual Bandit <-> Iowa Gambling Task (IGT),0.36737400637749373,0.10258181172964798,0.07610993657505286,0.05496828752642706,-0.021141649048625796,0.021141649048625796
choice task,go/no-go,choice task <-> go/no-go,0.5308187294335698,0.1614628738127868,0.2832980972515856,0.26109936575052856,-0.022198731501057056,0.022198731501057056
contextual bandit task,gambling task,contextual bandit task <-> gambling task,0.34169326544999645,0.09684599911788372,0.06448202959830866,0.042283298097251586,-0.022198731501057077,0.022198731501057077
Two-Armed Bandit,exp4,Two-Armed Bandit <-> exp4,0.39910965013810173,0.1084806979424745,0.08456659619450317,0.06236786469344609,-0.022198731501057084,0.022198731501057084
Iowa Gambling Task (IGT),contextual bandit task,Iowa Gambling Task (IGT) <-> contextual bandit task,0.36521393426139515,0.10124744204042835,0.07505285412262157,0.052854122621564484,-0.022198731501057084,0.022198731501057084
exp2,exp7,exp2 <-> exp7,0.7566281888346167,0.3146309779610684,0.9101479915433404,0.8868921775898521,-0.023255813953488302,0.023255813953488302
choice task,two-armed bandit task,choice task <-> two-armed bandit task,0.5074713633064398,0.1485906175660502,0.2167019027484144,0.193446088794926,-0.023255813953488386,0.023255813953488386
choice task,contextual bandit task,choice task <-> contextual bandit task,0.4711469094420466,0.1337693120267588,0.14482029598308668,0.12050739957716702,-0.02431289640591966,0.02431289640591966
Multi-Step Sequential RL (3+ states),two-armed bandit task,Multi-Step Sequential R... <-> two-armed bandit task,0.4682405473708571,0.13255098880366667,0.13953488372093023,0.11522198731501057,-0.02431289640591966,0.02431289640591966
exp5,gambling task,exp5 <-> gambling task,0.4717861656767772,0.13403069086145125,0.14693446088794926,0.12156448202959831,-0.025369978858350947,0.025369978858350947
gambling task,two-step task,gambling task <-> two-step task,0.6468994992801882,0.23423220309065707,0.7008456659619451,0.6754756871035941,-0.025369978858351017,0.025369978858351017
go/no-go task,route learning,go/no-go task <-> route learning,0.5950410269705431,0.20591809313755827,0.5422832980972516,0.5169133192389006,-0.025369978858351017,0.025369978858351017
intertemporal choice,n-back,intertemporal choice <-> n-back,0.6130363543041453,0.21548422347678864,0.595137420718816,0.5687103594080338,-0.026427061310782207,0.026427061310782207
Go/No-Go (withhold),two-armed bandit task,Go/No-Go (withhold) <-> two-armed bandit task,0.4916101968893585,0.14052205205432144,0.1828752642706131,0.1553911205073996,-0.02748414376321351,0.02748414376321351
Fixed-Set Intertemporal Choice,Go/No-Go (withhold),Fixed-Set Intertemporal... <-> Go/No-Go (withhold),0.5461145611235081,0.1702068799407217,0.339323467230444,0.3107822410147992,-0.02854122621564481,0.02854122621564481
digit span,exp0,digit span <-> exp0,0.6623685539130163,0.2466834473599423,0.7484143763213531,0.7198731501057083,-0.02854122621564481,0.02854122621564481
Iowa Gambling Task (IGT),two-armed bandit task,Iowa Gambling Task (IGT) <-> two-armed bandit task,0.4497978379271257,0.12510994130954478,0.11627906976744186,0.08773784355179703,-0.028541226215644824,0.028541226215644824
go/no-go task,n-back,go/no-go task <-> n-back,0.4756507628732778,0.13465325765758407,0.15327695560253699,0.12367864693446089,-0.029598308668076098,0.029598308668076098
contextual bandit task,iowa gambling task,contextual bandit task <-> iowa gambling task,0.3800666416540568,0.0993253039323474,0.07822410147991543,0.048625792811839326,-0.029598308668076105,0.029598308668076105
exp2,exp4,exp2 <-> exp4,0.6797040681231421,0.2558099811230562,0.7949260042283298,0.7653276955602537,-0.029598308668076112,0.029598308668076112
Contextual Bandit,iowa gambling task,Contextual Bandit <-> iowa gambling task,0.38145494921885836,0.10088510403503914,0.08139534883720931,0.0507399577167019,-0.030655391120507407,0.030655391120507407
n-back,route learning,n-back <-> route learning,0.546332153921126,0.16994745090621488,0.3403805496828753,0.3086680761099366,-0.031712473572938715,0.031712473572938715
Columbia Card Task (CCT),iowa gambling task,Columbia Card Task (CCT) <-> iowa gambling task,0.5287096194873189,0.1575775014618216,0.2758985200845666,0.24312896405919662,-0.03276955602536999,0.03276955602536999
exp7,iowa gambling task,exp7 <-> iowa gambling task,0.686404548807984,0.2591791669637652,0.813953488372093,0.781183932346723,-0.03276955602537002,0.03276955602537002
Balloon Analogue Risk Task (BART),gambling task,Balloon Analogue Risk T... <-> gambling task,0.56521755180884,0.18244105107192754,0.4186046511627907,0.38477801268498946,-0.03382663847780126,0.03382663847780126
go/no-go,route learning,go/no-go <-> route learning,0.5945710915773608,0.20445658190613947,0.540169133192389,0.5042283298097252,-0.03594080338266381,0.03594080338266381
Fixed-Set Intertemporal Choice,exp1,Fixed-Set Intertemporal... <-> exp1,0.6366743067668854,0.22578074368061973,0.6649048625792812,0.6289640591966174,-0.03594080338266381,0.03594080338266381
Iowa Gambling Task (IGT),Two-Armed Bandit,Iowa Gambling Task (IGT) <-> Two-Armed Bandit,0.4513118134629547,0.12343468744425823,0.11839323467230443,0.0824524312896406,-0.03594080338266384,0.03594080338266384
iowa gambling task,two-armed bandit task,iowa gambling task <-> two-armed bandit task,0.4591573868346437,0.12669115673732478,0.13002114164904863,0.09408033826638477,-0.03594080338266385,0.03594080338266385
columbia card task,contextual bandit task,columbia card task <-> contextual bandit task,0.51280453813176,0.14955020584611767,0.23150105708245244,0.19556025369978858,-0.035940803382663866,0.035940803382663866
Recent Probes,exp3,Recent Probes <-> exp3,0.7912061403030495,0.3733217609276379,0.9482029598308668,0.9112050739957717,-0.03699788583509511,0.03699788583509511
Four-Armed Bandit,choice task,Four-Armed Bandit <-> choice task,0.5405217899882586,0.16609127521760492,0.32346723044397463,0.2864693446088795,-0.03699788583509511,0.03699788583509511
Two-Armed Bandit,iowa gambling task,Two-Armed Bandit <-> iowa gambling task,0.4571469984424068,0.12525534407358663,0.12684989429175475,0.08985200845665962,-0.036997885835095126,0.036997885835095126
Weather Prediction Task (Cards),multi-step sequential decision task,Weather Prediction Task... <-> multi-step sequential d...,0.5590212871986474,0.17765426801006978,0.3985200845665962,0.36152219873150104,-0.03699788583509517,0.03699788583509517
Two-Armed Bandit,Verbal Digit/Letter WM,Two-Armed Bandit <-> Verbal Digit/Letter WM,0.5720040437640769,0.1863132432667689,0.44820295983086683,0.41120507399577166,-0.03699788583509517,0.03699788583509517
multi-step sequential decision task,two-armed bandit task,multi-step sequential d... <-> two-armed bandit task,0.47079635558706,0.1291362679854936,0.14376321353065538,0.10465116279069768,-0.0391120507399577,0.0391120507399577
choice task,go/no-go task,choice task <-> go/no-go task,0.5332756984165014,0.16064607428379218,0.2928118393234672,0.2536997885835095,-0.039112050739957716,0.039112050739957716
Recent Probes,exp2,Recent Probes <-> exp2,0.7859037072734767,0.35027297902677046,0.9408033826638478,0.9006342494714588,-0.04016913319238902,0.04016913319238902
digit span,exp,digit span <-> exp,0.515043196016592,0.150151601029626,0.24312896405919662,0.20190274841437633,-0.04122621564482029,0.04122621564482029
Iowa Gambling Task (IGT),intertemporal choice,Iowa Gambling Task (IGT) <-> intertemporal choice,0.4918805693777153,0.13870424115550806,0.1839323467230444,0.1427061310782241,-0.04122621564482029,0.04122621564482029
go/no-go,n-back,go/no-go <-> n-back,0.480169576721294,0.13340061087220245,0.160676532769556,0.11839323467230443,-0.04228329809725158,0.04228329809725158
columbia card task,iowa gambling task,columbia card task <-> iowa gambling task,0.5287166893377945,0.15607000600495935,0.2769556025369979,0.2346723044397463,-0.04228329809725162,0.04228329809725162
Fixed-Set Intertemporal Choice,Two-Step Task (Daw),Fixed-Set Intertemporal... <-> Two-Step Task (Daw),0.6341446638574476,0.22334100019452885,0.6575052854122622,0.6152219873150105,-0.04228329809725162,0.04228329809725162
go/no-go,intertemporal choice,go/no-go <-> intertemporal choice,0.5498932556403762,0.17025803991342225,0.3562367864693446,0.3118393234672304,-0.04439746300211417,0.04439746300211417
Multi-Step Sequential RL (3+ states),Weather Prediction Task (Cards),Multi-Step Sequential R... <-> Weather Prediction Task...,0.5763115149180286,0.1870051209912822,0.459830866807611,0.4143763213530655,-0.04545454545454547,0.04545454545454547
Multi-Step Sequential RL (3+ states),exp2,Multi-Step Sequential R... <-> exp2,0.7275373783434523,0.29142468933308496,0.8858350951374208,0.8403805496828752,-0.045454545454545525,0.045454545454545525
exp3,recent probes task,exp3 <-> recent probes task,0.8024551673680052,0.37271383781957035,0.9577167019027484,0.9101479915433404,-0.04756871035940802,0.04756871035940802
contextual bandit task,intertemporal choice,contextual bandit task <-> intertemporal choice,0.490004986810072,0.13745003646231713,0.18181818181818182,0.13424947145877378,-0.047568710359408045,0.047568710359408045
Go/No-Go (withhold),Two-Armed Bandit,Go/No-Go (withhold) <-> Two-Armed Bandit,0.5078970342964271,0.14333064740607482,0.21881606765327696,0.17019027484143764,-0.04862579281183932,0.04862579281183932
Two-Step Task (Daw),exp4,Two-Step Task (Daw) <-> exp4,0.5624263621510369,0.17712356534407991,0.4048625792811839,0.3562367864693446,-0.04862579281183932,0.04862579281183932
Contextual Bandit,choice task,Contextual Bandit <-> choice task,0.4888295603383439,0.13601611838801142,0.17758985200845667,0.12684989429175475,-0.05073995771670192,0.05073995771670192
Multi-Step Sequential RL (3+ states),exp3,Multi-Step Sequential R... <-> exp3,0.7423856393717232,0.2946691151332278,0.8995771670190275,0.8477801268498943,-0.05179704016913311,0.05179704016913311
intertemporal choice,iowa gambling task,intertemporal choice <-> iowa gambling task,0.5019811347891814,0.14010248308424056,0.20507399577167018,0.1522198731501057,-0.05285412262156447,0.05285412262156447
go/no-go task,two-armed bandit task,go/no-go task <-> two-armed bandit task,0.5100397440563416,0.14346492064940308,0.22410147991543342,0.17124735729386892,-0.0528541226215645,0.0528541226215645
Fixed-Set Intertemporal Choice,category learning task,Fixed-Set Intertemporal... <-> category learning task,0.642641264072946,0.22679235863754066,0.6871035940803383,0.6342494714587738,-0.052854122621564525,0.052854122621564525
Columbia Card Task (CCT),Contextual Bandit,Columbia Card Task (CCT) <-> Contextual Bandit,0.529243943874815,0.1549943978997277,0.27906976744186046,0.2251585623678647,-0.05391120507399577,0.05391120507399577
exp2,recent probes task,exp2 <-> recent probes task,0.7989555038696547,0.3502761893510328,0.9556025369978859,0.9016913319238901,-0.05391120507399583,0.05391120507399583
Two-Armed Bandit,choice task,Two-Armed Bandit <-> choice task,0.5220301657498551,0.14995329588883666,0.2558139534883721,0.19978858350951373,-0.056025369978858375,0.056025369978858375
exp2,multi-step sequential decision task,exp2 <-> multi-step sequential d...,0.7286746580426731,0.28459269678800747,0.8868921775898521,0.8308668076109936,-0.05602536997885843,0.05602536997885843
exp0,gambling task,exp0 <-> gambling task,0.6685169608635773,0.24207285087980246,0.7653276955602537,0.7082452431289641,-0.05708245243128962,0.05708245243128962
category learning task,choice task,category learning task <-> choice task,0.6173844845366127,0.21419705702360747,0.6141649048625792,0.5570824524312896,-0.05708245243128962,0.05708245243128962
multi-step sequential decision task,weather prediction task,multi-step sequential d... <-> weather prediction task,0.5563724284505879,0.17268667323465758,0.38477801268498946,0.3276955602536998,-0.057082452431289676,0.057082452431289676
Multi-Step Sequential RL (3+ states),Two-Armed Bandit,Multi-Step Sequential R... <-> Two-Armed Bandit,0.48973604923674663,0.13407976394369836,0.18076109936575052,0.1226215644820296,-0.05813953488372092,0.05813953488372092
columbia card task,digit span,columbia card task <-> digit span,0.6737156593470945,0.24643060802214722,0.7769556025369979,0.718816067653277,-0.05813953488372092,0.05813953488372092
Fixed-Set Intertemporal Choice,exp,Fixed-Set Intertemporal... <-> exp,0.5519502527579095,0.16977424568116573,0.36469344608879495,0.30655391120507397,-0.05813953488372098,0.05813953488372098
Columbia Card Task (CCT),route learning,Columbia Card Task (CCT) <-> route learning,0.6638577208814962,0.23882630971990293,0.7536997885835095,0.6945031712473573,-0.059196617336152224,0.059196617336152224
category learning task,intertemporal choice,category learning task <-> intertemporal choice,0.6474076168613241,0.2286684741303644,0.7040169133192389,0.6448202959830867,-0.059196617336152224,0.059196617336152224
balloon analogue risk task,go/no-go task,balloon analogue risk t... <-> go/no-go task,0.6279102626040007,0.21656911076759766,0.6374207188160677,0.5771670190274841,-0.060253699788583526,0.060253699788583526
Two-Armed Bandit,balloon analogue risk task,Two-Armed Bandit <-> balloon analogue risk t...,0.5978778409898848,0.20137288313550772,0.5496828752642706,0.4894291754756871,-0.060253699788583526,0.060253699788583526
go/no-go task,multi-step sequential decision task,go/no-go task <-> multi-step sequential d...,0.5845074855074435,0.19006114912342864,0.4978858350951374,0.4365750528541226,-0.06131078224101477,0.06131078224101477
four-armed bandit task,gambling task,four-armed bandit task <-> gambling task,0.435192559255566,0.09975114291209008,0.1109936575052854,0.049682875264270614,-0.06131078224101479,0.06131078224101479
Four-Armed Bandit,gambling task,Four-Armed Bandit <-> gambling task,0.4335861401435174,0.09901910651872581,0.10887949260042283,0.04756871035940803,-0.0613107822410148,0.0613107822410148
Iowa Gambling Task (IGT),two-step task,Iowa Gambling Task (IGT) <-> two-step task,0.6681149560807711,0.2394291108000114,0.7642706131078224,0.6987315010570825,-0.06553911205073992,0.06553911205073992
Unidimensional Threshold Rule,intertemporal choice,Unidimensional Threshol... <-> intertemporal choice,0.6459738279157675,0.22619850724432822,0.6955602536997886,0.6300211416490487,-0.06553911205073992,0.06553911205073992
Iowa Gambling Task (IGT),four-armed bandit task,Iowa Gambling Task (IGT) <-> four-armed bandit task,0.4586541983158223,0.10749812217899013,0.12790697674418605,0.0613107822410148,-0.06659619450317125,0.06659619450317125
exp,gambling task,exp <-> gambling task,0.45311764427272605,0.10302244972749619,0.1226215644820296,0.056025369978858354,-0.06659619450317125,0.06659619450317125
exp,exp2,exp <-> exp2,0.7325708335098373,0.27548326325975747,0.8900634249471459,0.8224101479915433,-0.06765327695560253,0.06765327695560253
exp,exp3,exp <-> exp3,0.762328558260536,0.2944030045271323,0.912262156448203,0.8446088794926004,-0.06765327695560253,0.06765327695560253
Columbia Card Task (CCT),digit span,Columbia Card Task (CCT) <-> digit span,0.6873892214117724,0.25346825481114965,0.8160676532769556,0.7484143763213531,-0.06765327695560253,0.06765327695560253
exp3,exp7,exp3 <-> exp7,0.8027086255303197,0.3182235231313727,0.959830866807611,0.8921775898520085,-0.06765327695560253,0.06765327695560253
Two-Armed Bandit,digit span,Two-Armed Bandit <-> digit span,0.5651404400975939,0.17617934705233518,0.4175475687103594,0.3488372093023256,-0.06871035940803383,0.06871035940803383
go/no-go task,intertemporal choice,go/no-go task <-> intertemporal choice,0.5523183549355741,0.16903893393891833,0.3689217758985201,0.30021141649048627,-0.06871035940803383,0.06871035940803383
Contextual Bandit,intertemporal choice,Contextual Bandit <-> intertemporal choice,0.5064966088035672,0.13952635689502413,0.2156448202959831,0.14693446088794926,-0.06871035940803383,0.06871035940803383
Route Learning / Decision-Point Navigation,n-back,Route Learning / Decisi... <-> n-back,0.5567972904214176,0.1711810988091006,0.3890063424947146,0.3192389006342495,-0.06976744186046513,0.06976744186046513
Fixed-Set Intertemporal Choice,Iowa Gambling Task (IGT),Fixed-Set Intertemporal... <-> Iowa Gambling Task (IGT),0.5049394509496532,0.13861194207448035,0.20930232558139536,0.13953488372093023,-0.06976744186046513,0.06976744186046513
exp3,multi-step sequential decision task,exp3 <-> multi-step sequential d...,0.7431135063744192,0.286899909946697,0.9016913319238901,0.8319238900634249,-0.06976744186046513,0.06976744186046513
two-armed bandit task,two-step task,two-armed bandit task <-> two-step task,0.5697152283498222,0.17914936866852693,0.4397463002114165,0.3689217758985201,-0.07082452431289638,0.07082452431289638
go/no-go,multi-step sequential decision task,go/no-go <-> multi-step sequential d...,0.5842122022089709,0.18801956971315636,0.49682875264270615,0.4260042283298097,-0.07082452431289643,0.07082452431289643
Two-Step Task (Daw),gambling task,Two-Step Task (Daw) <-> gambling task,0.6601664349640743,0.23167127792539532,0.7399577167019028,0.6691331923890064,-0.07082452431289643,0.07082452431289643
intertemporal choice,two-armed bandit task,intertemporal choice <-> two-armed bandit task,0.5267662825033697,0.1496190988701006,0.27061310782241016,0.19767441860465115,-0.072938689217759,0.072938689217759
Contextual Bandit,columbia card task,Contextual Bandit <-> columbia card task,0.529658270048301,0.15133507259919865,0.28012684989429176,0.20718816067653276,-0.072938689217759,0.072938689217759
exp3,exp4,exp3 <-> exp4,0.6945494654598721,0.2538548893621121,0.8266384778012685,0.7526427061310782,-0.07399577167019034,0.07399577167019034
exp0,n-back,exp0 <-> n-back,0.6703003027069147,0.23917020047271398,0.7716701902748414,0.6966173361522199,-0.07505285412262153,0.07505285412262153
Columbia Card Task (CCT),exp2,Columbia Card Task (CCT) <-> exp2,0.8035794296515427,0.3139622372808115,0.9608879492600423,0.8858350951374208,-0.07505285412262153,0.07505285412262153
Two-Armed Bandit,multi-step sequential decision task,Two-Armed Bandit <-> multi-step sequential d...,0.49344247666826857,0.130677559269344,0.18604651162790697,0.1109936575052854,-0.07505285412262157,0.07505285412262157
Multi-Step Sequential RL (3+ states),weather prediction task,Multi-Step Sequential R... <-> weather prediction task,0.5737196052879635,0.18108869801259397,0.45348837209302323,0.3773784355179704,-0.07610993657505283,0.07610993657505283
Four-Armed Bandit,Iowa Gambling Task (IGT),Four-Armed Bandit <-> Iowa Gambling Task (IGT),0.4615155687558009,0.10639096268333825,0.13424947145877378,0.05813953488372093,-0.07610993657505286,0.07610993657505286
go/no-go,two-armed bandit task,go/no-go <-> two-armed bandit task,0.5144622210429612,0.1420854960569905,0.23995771670190275,0.1638477801268499,-0.07610993657505286,0.07610993657505286
choice task,exp1,choice task <-> exp1,0.6168042117419389,0.21115000446931276,0.6131078224101479,0.5359408033826638,-0.07716701902748413,0.07716701902748413
Go/No-Go (withhold),exp3,Go/No-Go (withhold) <-> exp3,0.71644754747782,0.26160340373062674,0.8678646934460887,0.7896405919661733,-0.07822410147991543,0.07822410147991543
Fixed-Set Intertemporal Choice,iowa gambling task,Fixed-Set Intertemporal... <-> iowa gambling task,0.5123124711660623,0.13990998877218241,0.22938689217758984,0.15010570824524314,-0.0792811839323467,0.0792811839323467
Route Learning / Decision-Point Navigation,gambling task,Route Learning / Decisi... <-> gambling task,0.6895176955644999,0.24979201888900493,0.8181818181818182,0.7389006342494715,-0.07928118393234673,0.07928118393234673
Go/No-Go (withhold),exp,Go/No-Go (withhold) <-> exp,0.47892644945027074,0.12221880267521257,0.15961945031712474,0.080338266384778,-0.07928118393234673,0.07928118393234673
Iowa Gambling Task (IGT),exp,Iowa Gambling Task (IGT) <-> exp,0.47132561268416695,0.1114592442680401,0.14587737843551796,0.06342494714587738,-0.08245243128964058,0.08245243128964058
exp3,go/no-go,exp3 <-> go/no-go,0.7174705465536861,0.26077907965020564,0.8710359408033826,0.7864693446088795,-0.08456659619450313,0.08456659619450313
exp,n-back,exp <-> n-back,0.539865000426712,0.15610571612446944,0.321353065539112,0.2357293868921776,-0.08562367864693443,0.08562367864693443
Fixed-Set Intertemporal Choice,contextual bandit task,Fixed-Set Intertemporal... <-> contextual bandit task,0.507892488621601,0.13685254928032198,0.21775898520084566,0.1321353065539112,-0.08562367864693446,0.08562367864693446
Two-Step Task (Daw),route learning,Two-Step Task (Daw) <-> route learning,0.6021316090862124,0.19927434695798196,0.5634249471458774,0.47780126849894294,-0.08562367864693449,0.08562367864693449
Four-Armed Bandit,exp2,Four-Armed Bandit <-> exp2,0.7660561665043801,0.28190446558802207,0.9154334038054969,0.8298097251585623,-0.08562367864693454,0.08562367864693454
exp3,go/no-go task,exp3 <-> go/no-go task,0.7201422831883335,0.2615669530172273,0.8752642706131079,0.7885835095137421,-0.08668076109936573,0.08668076109936573
Iowa Gambling Task (IGT),Route Learning / Decision-Point Navigation,Iowa Gambling Task (IGT) <-> Route Learning / Decisi...,0.687270376209568,0.2476447399871745,0.8150105708245243,0.7272727272727273,-0.08773784355179703,0.08773784355179703
Multi-Step Sequential RL (3+ states),go/no-go task,Multi-Step Sequential R... <-> go/no-go task,0.6002296832800399,0.19811460285080362,0.5570824524312896,0.4693446088794926,-0.08773784355179703,0.08773784355179703
Verbal Digit/Letter WM,exp2,Verbal Digit/Letter WM <-> exp2,0.7580336178713236,0.2771976045523088,0.9112050739957717,0.8234672304439746,-0.08773784355179703,0.08773784355179703
exp2,four-armed bandit task,exp2 <-> four-armed bandit task,0.7687496870832774,0.28143321805694255,0.9175475687103594,0.8276955602536998,-0.08985200845665953,0.08985200845665953
columbia card task,exp2,columbia card task <-> exp2,0.8057479847701181,0.3102437953539383,0.9640591966173362,0.8742071881606766,-0.08985200845665964,0.08985200845665964
Two-Armed Bandit,go/no-go task,Two-Armed Bandit <-> go/no-go task,0.5270671152335153,0.14638605372006464,0.2727272727272727,0.18181818181818182,-0.09090909090909088,0.09090909090909088
Fixed-Set Intertemporal Choice,Unidimensional Threshold Rule,Fixed-Set Intertemporal... <-> Unidimensional Threshol...,0.6512908447470396,0.22357383729976765,0.7124735729386892,0.620507399577167,-0.09196617336152213,0.09196617336152213
Multi-Step Sequential RL (3+ states),go/no-go,Multi-Step Sequential R... <-> go/no-go,0.5986534804774668,0.19546675813525116,0.554968287526427,0.4619450317124736,-0.09302325581395343,0.09302325581395343
Balloon Analogue Risk Task (BART),iowa gambling task,Balloon Analogue Risk T... <-> iowa gambling task,0.5796738427742921,0.18165815650038974,0.47357293868921774,0.38054968287526425,-0.09302325581395349,0.09302325581395349
exp5,iowa gambling task,exp5 <-> iowa gambling task,0.5108342585514821,0.13724638100827713,0.226215644820296,0.1331923890063425,-0.09302325581395349,0.09302325581395349
Route Learning / Decision-Point Navigation,columbia card task,Route Learning / Decisi... <-> columbia card task,0.6775847491995366,0.23842431885420134,0.7854122621564482,0.6923890063424947,-0.09302325581395354,0.09302325581395354
gambling task,route learning,gambling task <-> route learning,0.692167046756647,0.24853569667887787,0.8234672304439746,0.7304439746300211,-0.09302325581395354,0.09302325581395354
Four-Armed Bandit,exp3,Four-Armed Bandit <-> exp3,0.788690896537959,0.3004881454194971,0.945031712473573,0.8520084566596194,-0.09302325581395354,0.09302325581395354
Four-Armed Bandit,Recent Probes,Four-Armed Bandit <-> Recent Probes,0.5980781715366075,0.19464073702850904,0.5507399577167019,0.45665961945031713,-0.09408033826638479,0.09408033826638479
n-back,two-armed bandit task,n-back <-> two-armed bandit task,0.5528735472606412,0.16464318107637355,0.37420718816067655,0.28012684989429176,-0.09408033826638479,0.09408033826638479
exp2,two-step task,exp2 <-> two-step task,0.8283133119209412,0.3129307457129674,0.9778012684989429,0.8826638477801269,-0.09513742071881603,0.09513742071881603
